Product Id,Product Name,Category,Tags,Price,Description,Image,slug,category_id
4c69b61db1fc16e7013b43fc926e502d,DB Longboards CoreFlex Crossbow 41 Bamboo Fiberglass Longboard Complete,sports & outdoors ,"sports & outdoors | outdoor recreation | skates, skateboards & scooters | skateboarding | standard skateboards & longboards | longboards",237.68,responsive flex the crossbow features a bamboo core encased in triaxial fiberglass and hd plastic for a responsive flex pattern thats second to none pumping carving have never been so satisfying flex 2 is recommended for people 120 to 170 pounds coreflex tech coreflex construction is water resistant impact resistant scratch resistant and has a flex like you wont believe these boards combine fiberglass epoxy hd plastic and bamboo to create a perfect blend of performance and strength inspired by the northwest our founding ideal is chasing adventure riding the best boards possible inspired by the hills waves beaches mountains all around our headquarters in the northwest best in the world db was founded out of sheer love of longboarding with a mission to create the best custom longboards in the world to do it sustainably to treat customers employees like family beyond compare try our skateboards accessories if you ve tried similar products by sector 9 landyachtz arbor loaded globe orangatang hawgs powell peralta blood orange caliber or gullwing,https://images-na.ssl-images-amazon.com/images/I/51j3fPQTQkL.jpg|https://images-na.ssl-images-amazon.com/images/I/31hKM3cSoSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51WlHdwghfL.jpg|https://images-na.ssl-images-amazon.com/images/I/51FsyLRBzwL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,db-longboards,1
66d49bbed043f5be260fa9f7fbff5957,Electronic Snap Circuits Mini Kits Classpackand FM Radioand Motion Detectorand Music Box Set of 5,toys & games ,toys & games | learning & education | science kits & toys,99.95,snap circuits mini kits classpack provides basic electronic circuitry activities for students in grades 2 6 includes 5 separate mini building kits an fm radio a motion detector music box space battle sound effects and a flying saucer each kit includes separate components and instructions to build each component represents one function in a circuit components snap together to create working models of everyday electronic devices activity guide provides additional projects to teach students how circuitry works,https://images-na.ssl-images-amazon.com/images/I/51M0KnJxjKL.jpg|https://images-na.ssl-images-amazon.com/images/I/5166GD8OkXL.jpg|https://images-na.ssl-images-amazon.com/images/I/61o5S1VnaNL.jpg|https://images-na.ssl-images-amazon.com/images/I/61t4Q0rPYjL.jpg|https://images-na.ssl-images-amazon.com/images/I/61NASUAyqcL.jpg|https://images-na.ssl-images-amazon.com/images/I/51OMrADdyJL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,electronic-snap,2
2c55cae269aebf53838484b0d7dd931a,3Doodler Create Flexy 3D Printing Filament Refill Bundle X5 Packand Over 1000 of Extruded Plastics Innovate,toys & games ,toys & games | arts & crafts | craft kits,34.99,smooth 3d drawing experienced the best 3d drawing experience by only using 3doodler create plastics with 3doodler create and create 3d printing pen safe to usethe 3doodler create plastics conforms to the health requirements of astm d 4236 require no additional labelling in accordance with the us consumer product safety commissions regulations as mandated by labeling of hazardous art materials act lhama 3doodler very own type of plasticthe flexy plastic takes creativity to new levels you can make flexible fun 3d creations environmentally friendly3doodler create plastic is made of corn and are 100 compostable 125 strands of drawing funthis bundle includes 5 refill filament packs that s a total of 1043 ft of 3d drawing and doodling fun the 3doodler appget an interactive experience the app is packed with dedicated easy to follow stencil section and step by step interactive instructions receive badges for completed projects and photograph share your creations directly on social media the app is fully built on ios android all your favorite colorsthis pack includes green blue pink orange yellow,https://images-na.ssl-images-amazon.com/images/I/513cBC8PqpL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,3doodler-create,2
18018b6bc416dab347b1b7db79994afa,Guillow Airplane Design Studio with Travel Case Building Kit,toys & games ,toys & games | hobbies | models & model kits | model kits | airplane & jet kits,28.91,make 8 different planes at one time experiment with different designs and learn about flight all contained in part trays inside an attractive box with carry handle guillow s your one source for flying toys since 1926 made in the usa,https://images-na.ssl-images-amazon.com/images/I/516UijZMilL.jpg|https://images-na.ssl-images-amazon.com/images/I/51J6y3oM6VL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,guillow-airplane,2
e04b990e95bf73bbe6a3fa09785d7cd0,Woodstock Collage 500 pc Puzzle,toys & games ,toys & games | puzzles | jigsaw puzzles,17.49,puzzle has 500 pieces completed puzzle measure 14 x 19 100 officially licensed merchandise great for fans puzzlers alike,https://images-na.ssl-images-amazon.com/images/I/61plo8Xv4vL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,woodstock-collage,2
f8c32a45e507a177992973cf0d46d20c,Terra by Battat 4 Dinosaur Toysand Medium Dinosaurs for Kids and Collectorsand Scientifically Accurate and Designed by A Paleo Artist Age 3 4 Pc,no_category,,18.66,4 medium sized dinosaurs for kids with lifelike pose accurate ratio and exquisitely detailed paint includes parasaurolophus walkeri stegosaurus ungulatus pachyrhinosaurus and euoplocephalus tutus toy dinos museum quality classic toy dinosaurs designed by an internationally renowned paleo artist educational toy dinosaur toys for kids spark curiosity about paleontology science and natural history dimensions dimensions miniature figurines measure 6 25 8 5 l 1 5 2 25 w 2 25 3 5 h inches approximately toys 6 25 8 5 l 1 5 2 25 w 2 25 3 5 h inches approximately no batteries required just imagination earth friendly recyclable packaging age suggested for ages 3 collect them all discover the entire terra by battat family of animal toy figurines and dinosaur playsets,https://images-na.ssl-images-amazon.com/images/I/41EdPcg0uzL.jpg|https://images-na.ssl-images-amazon.com/images/I/410KcPi9ieL.jpg|https://images-na.ssl-images-amazon.com/images/I/41wU2y7soKL.jpg|https://images-na.ssl-images-amazon.com/images/I/51NIuTiNR1L.jpg|https://images-na.ssl-images-amazon.com/images/I/41lqmJ8s-EL.jpg|https://images-na.ssl-images-amazon.com/images/I/41mJemzRLAL.jpg|https://images-na.ssl-images-amazon.com/images/I/61kyhPnISgL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,terra-by,3
40d3cd16b41970ae6872e914aecf2c8e,Rubie s Child s Pokemon Deluxe Pikachu Costumeand X Small,"clothing, shoes & jewelry ","clothing, shoes & jewelry | costumes & accessories | kids & baby | girls | costumes",29.12,polyester deluxe pokemon child s pikachu costume features a fleece jumpsuit with attached tail and headpiece with attached ears and printed face officially licensed pokemon costume look for trademark on packaging and label to help assure you ve received authentic safety tested item important costumes are sized differently than apparel use the rubie s child size chart do not choose based on child s age or clothing size group costume fun coordinate with additional pokemon costumes and accessories available from rubie s family owned family focused and based in the u s a since 1951 rubie s has classic and licensed costumes and accessories in sizes and styles for your entire family,https://images-na.ssl-images-amazon.com/images/I/311yBLR6GiL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,rubie-s,4
bc178f33a04dbccefa95b165f8b56830,Hoffmaster 120813 Double Tipped Triangular Crayonand 88 mm Lengthand Wrapped 500 Packs of 2,toys & games ,toys & games | arts & crafts | drawing & painting supplies | crayons,97.68,,https://images-na.ssl-images-amazon.com/images/I/41RQ9OU%2BTPL.jpg,hoffmaster-120813,2
cc2083338a16c3fe2f7895289d2e98fe,ARTSCAPE Etched Glass 24 x 36 Window Filmand 24 by 36 Inch,home & kitchen ,home & kitchen | home décor | window treatments | window stickers & films | window films,12.99,the visual effect of textured glass and stained glass creates privacy provides uv protection no adhesives applies easily patterns repeat to cover any size window made in usa,https://images-na.ssl-images-amazon.com/images/I/51iAe3LF7FL.jpg|https://images-na.ssl-images-amazon.com/images/I/417B20oEehL.jpg|https://images-na.ssl-images-amazon.com/images/I/41J3bDg633L.jpg|https://images-na.ssl-images-amazon.com/images/I/51hhnuGWwdL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,artscape-etched,5
69828c5570dcdbd1609216d33fbad0db,Pokemon TCG Sun and Moon Crimson Invasion Elite Trainer Box,no_category,,38.49,the pokmon tcg sun mooncrimson invasion elite trainer box includes 8 pokmon tcg sun moon crimson invasion booster packs 65 card sleeves featuring silvally 45 pokmon tcg energy cards 6 damage counter dice 2 acrylic condition markers and 1 acrylic gx marker 1 competition legal coin flip die a collector s box to hold everything with 4 dividers to keep it organized a player s guide to the sun mooncrimson invasion expansion a code card for the pokemon trading card game official release date november 3rd 2017,https://images-na.ssl-images-amazon.com/images/I/51LFAQfMX6L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,pokemon-tcg,3
7b0746d8afc8462ba17f8a763d9d5f1e,Moonliteand 3 Story Bundle for Boysand Includes 3 Story Reels for Use with Storybook Projector,toys & games ,toys & games | baby & toddler toys,18.16,3 story reels make reading even more magical with the moonlite story reels bundle with 3 story reels included in this set read adventure filled tales about pirates dragon and a t rex to your little boy any time of day and enjoy them again and again easy to use portable storybook projector the tales included in this 3 pack come alive with moonlite clip the projector sold separately onto your smartphone not included slide in one of the set s story reels and project vibrant images onto any surface moonlite is lightweight and small enough to carry with you wherever you go develop a love of learning adored by children and adults award winning moonlite and the story reels create an immersive reading experience that instills a love of learning at a young age as kids follow along to their favorite stories they develop their imagination creativity and language skills the moonlite 3 story bundle makes a great gift for boys aged 3 and up and includes 3 story reels read tales like how to be a pirate there was an old dragon who swallowed a knight and i m a t rex works with the moonlite storybook projector sold separately includes 3 story reels 1 activation card 1 quick start guide,https://images-na.ssl-images-amazon.com/images/I/51rUvw7zrtL.jpg|https://images-na.ssl-images-amazon.com/images/I/51MYg4EV2pL.jpg|https://images-na.ssl-images-amazon.com/images/I/51tNGkk%2BQSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51EkeBHHZuL.jpg|https://images-na.ssl-images-amazon.com/images/I/51FGAr81NXL.jpg|https://images-na.ssl-images-amazon.com/images/I/511xp-dN1nL.jpg|https://images-na.ssl-images-amazon.com/images/I/B1HrN5Ag7JS.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,moonliteand-3,2
c5f4c94653a3befd8dd16adf2914c04e,DC Cover Girls Black Canary by Joëlle Jones Statue,toys & games ,"toys & games | collectible toys | statues, bobbleheads & busts | statues",84.61,designed by joelle jones sculpted by jack mathews rebirth era character design limited to 5 000 pieces individually numbered,https://images-na.ssl-images-amazon.com/images/I/415AfhrfM7L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,dc-cover,2
615ba903c134f439eaf8cdd1678ceb5c,Baby Doll Bedding Chevron Window Valance and Curtain Setand Orange,baby products ,baby products | nursery | décor | window treatments | valances,33.92,fits most standard sized windows modern chevron design fabric content chevron and solid poly fabric,https://images-na.ssl-images-amazon.com/images/I/51wmH8yyGxL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,baby-doll,6
